NUM_CIUDADES   TIEMPO   NODOS_VISITADOS   HOJAS_VISITADAS(SOLS)
5              0        62                1
6              0        266               1
7              0        1238              2
8              0        5255              2
9              0.015    24170             3
10             0.063    95718             5
11             0.343    1111485           9
12             1.123    4208881           9
13             5.413    21982526          6
14             29.875   92668030          6
15
16  
