
100 4.2e-05
600 0.00089
1100 0.002942
1600 0.006469
2100 0.015484
2600 0.018905
3100 0.026106
3600 0.035294
4100 0.055161
4600 0.066503
5100 0.070022
5600 0.086114
6100 0.112016
6600 0.125397
7100 0.14701
7600 0.16721
8100 0.192585
8600 0.213243
9100 0.242729
9600 0.266762
10100 0.299667
10600 0.327056
11100 0.369556
11600 0.394833
12100 0.439278
12600 0.470009
13100 0.507545
13600 0.547125
14100 0.598573
14600 0.639495
15100 0.685286
15600 0.730034
16100 0.785716
16600 0.83203
17100 0.886299
17600 0.938771
18100 0.996007
18600 1.05513
19100 1.135
19600 1.18649
20100 1.25915
20600 1.31182
21100 1.39695
21600 1.45095
22100 1.5246
22600 1.59512
23100 1.67131
23600 1.73271
24100 1.81663
24600 1.90129
25100 1.95897
25600 2.05972
26100 2.13306
26600 2.20971
27100 2.29611
27600 2.38536
28100 2.49067
28600 2.57869
29100 2.67719
29600 2.75671
30100 2.85724
