
100 3.295e-06
600 4.3828e-05
1100 9.2883e-05
1600 0.000148775
2100 0.000207962
2600 0.000257457
3100 0.000318801
3600 0.000376361
4100 0.000433965
4600 0.000485991
5100 0.000569353
5600 0.000607774
6100 0.0006848
6600 0.000728605
7100 0.000790809
7600 0.000848963
8100 0.00092722
8600 0.000991807
9100 0.00105015
9600 0.00112548
10100 0.00119783
10600 0.00125401
11100 0.00129522
11600 0.00137276
12100 0.0014972
12600 0.00149478
13100 0.00155771
13600 0.00163575
14100 0.00168473
14600 0.00177853
15100 0.00186358
15600 0.0018766
16100 0.00194595
16600 0.00204541
17100 0.00208242
17600 0.00213146
18100 0.00219131
18600 0.00226772
19100 0.00232244
19600 0.00238626
20100 0.00248451
20600 0.00258717
21100 0.00262417
21600 0.00266833
22100 0.00281603
22600 0.00280266
23100 0.00291721
23600 0.00296279
24100 0.00301471
24600 0.00305058
25100 0.00317074
25600 0.00324013
26100 0.00331416
26600 0.00334866
27100 0.00345567
27600 0.00363968
28100 0.00365714
28600 0.00373093
29100 0.00393177
29600 0.00383152
30100 0.00390689
