
100 3.172e-06
600 4.8504e-05
1100 9.5643e-05
1600 0.000147904
2100 0.00021295
2600 0.000252626
3100 0.000333085
3600 0.000375322
4100 0.00044951
4600 0.000501978
5100 0.000587133
5600 0.000622618
6100 0.000711891
6600 0.000776655
7100 0.000824016
7600 0.000915764
8100 0.000971996
8600 0.00101955
9100 0.00110365
9600 0.00114754
10100 0.00123299
10600 0.00128447
11100 0.00134189
11600 0.00141751
12100 0.00152064
12600 0.00157867
13100 0.00161385
13600 0.00172145
14100 0.00174179
14600 0.00181981
15100 0.00190902
15600 0.00199844
16100 0.0020878
16600 0.00211862
17100 0.00217746
17600 0.00226258
18100 0.00236906
18600 0.00243095
19100 0.00248546
19600 0.00256212
20100 0.00275167
20600 0.00276163
21100 0.00280898
21600 0.00286448
22100 0.0029742
22600 0.00310745
23100 0.00314873
23600 0.00310994
24100 0.00324477
24600 0.00327207
25100 0.00338196
25600 0.0034765
26100 0.00345541
26600 0.003552
27100 0.00365055
27600 0.00384139
28100 0.00376636
28600 0.00381672
29100 0.00395483
29600 0.00401512
30100 0.0041597
