
1 ¿Número del término: El término 1-ésimo es: 1
2 ¿Número del término: El término 2-ésimo es: 2
3 ¿Número del término: El término 3-ésimo es: 3
4 ¿Número del término: El término 4-ésimo es: 5
5 ¿Número del término: El término 5-ésimo es: 8
6 ¿Número del término: El término 6-ésimo es: 13
7 ¿Número del término: El término 7-ésimo es: 21
8 ¿Número del término: El término 8-ésimo es: 34
9 ¿Número del término: El término 9-ésimo es: 55
10 ¿Número del término: El término 10-ésimo es: 89
11 ¿Número del término: El término 11-ésimo es: 144
12 ¿Número del término: El término 12-ésimo es: 233
13 ¿Número del término: El término 13-ésimo es: 377
14 ¿Número del término: El término 14-ésimo es: 610
15 ¿Número del término: El término 15-ésimo es: 987
